Label,Predicted
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
Partially cloudy,Partially cloudy
Clear,Clear
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Overcast","Rain, Partially cloudy"
"Rain, Partially cloudy",Partially cloudy
"Rain, Partially cloudy","Rain, Partially cloudy"
Partially cloudy,Partially cloudy
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
Clear,Clear
"Rain, Partially cloudy","Rain, Partially cloudy"
Partially cloudy,Partially cloudy
Partially cloudy,"Rain, Partially cloudy"
Clear,Clear
Clear,Clear
"Rain, Partially cloudy","Rain, Partially cloudy"
Partially cloudy,Partially cloudy
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
Partially cloudy,Partially cloudy
Clear,Rain
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy",Partially cloudy
Clear,Partially cloudy
"Rain, Overcast","Rain, Overcast"
"Rain, Partially cloudy","Rain, Partially cloudy"
Overcast,"Rain, Overcast"
"Rain, Overcast","Rain, Overcast"
Overcast,"Rain, Overcast"
Partially cloudy,"Rain, Partially cloudy"
"Rain, Overcast","Rain, Overcast"
"Rain, Partially cloudy","Rain, Partially cloudy"
Clear,Clear
"Rain, Partially cloudy",Partially cloudy
Rain,Clear
"Rain, Overcast","Rain, Overcast"
"Rain, Partially cloudy","Rain, Partially cloudy"
Clear,Clear
Clear,Clear
"Rain, Partially cloudy","Rain, Partially cloudy"
Overcast,Overcast
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
Rain,Rain
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy","Rain, Partially cloudy"
Clear,Clear
Overcast,Overcast
Clear,Clear
"Rain, Overcast","Rain, Overcast"
"Rain, Partially cloudy","Rain, Partially cloudy"
Clear,Clear
Clear,Clear
"Rain, Partially cloudy","Rain, Partially cloudy"
"Rain, Partially cloudy",Partially cloudy
"Rain, Partially cloudy","Rain, Partially cloudy"
Clear,Clear
Clear,Clear
Clear,Clear
"Rain, Partially cloudy","Rain, Partially cloudy"
