Max Temperature,Min Temperature,Wind Speed,Cloud Cover,Relative Humidity,Conditions
35.9,25,12.9,11.6,67.11,Rain
36,27.5,12.1,11.8,68.15,Rain
35.5,28,11.2,21.7,73.05,Rain
35,28,19.4,27.7,71.29,"Rain, Partially cloudy"
36,28,15.7,22.1,69.52,Clear
35.7,26.5,25.9,37.2,72.42,"Rain, Partially cloudy"
28.1,25,12.1,53.2,85.11,"Rain, Partially cloudy"
31.2,25,14.8,49,81.74,"Rain, Partially cloudy"
31,26,19.4,67.6,80.83,"Rain, Partially cloudy"
33.7,26.5,14.8,55.4,80.11,"Rain, Partially cloudy"
33.2,26,14.3,30.1,79.21,"Rain, Partially cloudy"
33.5,25.5,14.8,45.1,82.51,"Rain, Partially cloudy"
32.7,25,18.4,55.3,81.14,"Rain, Partially cloudy"
33.5,26,15.8,47.6,79.8,"Rain, Partially cloudy"
33.5,26,18.4,41.4,78.08,"Rain, Partially cloudy"
34.5,27,23.2,32,76.82,"Rain, Partially cloudy"
34.5,27,15.7,32.5,72.4,Partially cloudy
29,26,23.2,55.3,67.26,"Rain, Partially cloudy"
25.5,24,22.3,75.6,81.14,"Rain, Overcast"
26.7,24,10.3,65.7,87.66,"Rain, Partially cloudy"
32.5,25,17.5,57,80.66,Partially cloudy
31.8,25,15.7,53.9,85.55,"Rain, Partially cloudy"
30.9,25,18.4,56.2,85.23,"Rain, Partially cloudy"
28.5,23,18.4,66.9,80.03,"Rain, Partially cloudy"
33,25,16.6,53.2,75.99,"Rain, Partially cloudy"
32.7,25,16.7,56.6,79.28,"Rain, Partially cloudy"
28.3,24,21.4,67,83.47,"Rain, Partially cloudy"
30,24,13,65.2,81.15,"Rain, Partially cloudy"
33,25.9,16.6,44.7,77.18,"Rain, Partially cloudy"
34.1,26,16.6,37.7,75.58,"Rain, Partially cloudy"
31,25,16.6,50.9,81.67,"Rain, Partially cloudy"
32,26,13.9,48,79.83,"Rain, Partially cloudy"
31,25.5,13.9,48.2,87.3,"Rain, Partially cloudy"
33,25,13.9,50.8,80.45,"Rain, Partially cloudy"
32.5,26,18.5,46.2,82.36,"Rain, Partially cloudy"
29.2,24,18.5,39,72.02,"Rain, Partially cloudy"
28.1,23,20.5,56.5,67.45,Partially cloudy
27.4,22,24.1,39,61.22,Partially cloudy
27.4,21,21.4,22.7,60.35,Clear
27.1,20,24.1,24.9,61.17,Clear
27.5,20.5,17.5,27.6,59.47,Partially cloudy
29.3,21.5,19.4,19.9,62.86,Clear
